gname,iyear,country,attacktype1,weaptype1,targtype1
New World Liberation Front (NWLF),1976,217,1,6,2
Ulster Volunteer Force (UVF),1976,603,1,5,14
New World Liberation Front (NWLF),1976,217,1,6,2
Basque Fatherland and Freedom (ETA),1976,185,6,13,1
Montoneros (Argentina),1976,11,2,5,3
Croatian Nationalists,1976,362,3,6,7
Jewish Armed Resistance,1976,217,3,6,7
Jewish Armed Resistance,1976,217,3,6,7
Basque Fatherland and Freedom (ETA),1976,185,6,13,11
New World Liberation Front (NWLF),1976,217,3,6,1
Irish Republican Army (IRA),1976,603,3,6,14
Revolutionary Armed Forces of Colombia (FARC),1976,45,6,13,1
Red Guerilla Family,1976,217,3,6,7
National Liberation Army of Colombia (ELN),1976,45,2,5,14
Irish Republican Extremists,1976,603,1,6,14
Ulster Freedom Fighters (UFF),1976,603,9,13,14
Popular Liberation Army (EPL),1976,45,3,6,1
Jewish Armed Resistance,1976,217,3,6,7
Basque Fatherland and Freedom (ETA),1976,185,1,6,3
Irish Republican Army (IRA),1976,603,1,5,4
Irish Republican Army (IRA),1976,603,1,5,14
Protestant extremists,1976,603,3,6,1
Basque Fatherland and Freedom (ETA),1976,185,6,13,1
Turkish People's Liberation Army,1976,209,2,5,3
Protestant extremists,1976,603,1,5,14
Irish Republican Army (IRA),1976,603,1,5,4
Ulster Volunteer Force (UVF),1976,603,2,5,14
Irish Republican Army (IRA),1976,603,1,5,14
Irish Republican Extremists,1976,603,3,6,3
George Jackson Brigade,1976,217,2,5,1
Protestant extremists,1976,603,1,5,14
Ulster Volunteer Force (UVF),1976,603,1,5,14
Protestant extremists,1976,603,3,6,14
Guerrilla Army of the Poor (EGP),1976,83,2,5,3
Irish Republican Extremists,1976,603,2,5,1
Turkish People's Liberation Army,1976,209,3,6,2
Armed Proletarian Nuclei (NAP),1976,98,2,5,2
Popular Front for the Liberation of Palestine (PFLP),1976,104,3,6,6
Irish Republican Extremists,1976,603,1,5,14
Montoneros (Argentina),1976,11,1,6,1
Protestant extremists,1976,603,1,5,14
Protestant extremists,1976,603,3,5,1
Irish Republican Army (IRA),1976,603,3,6,1
23rd of September Communist League,1976,130,1,5,10
Irish Republican Army (IRA),1976,96,7,8,1
Irish Republican Army (IRA),1976,603,3,6,1
Armenian Secret Army for the Liberation of Armenia,1976,209,3,6,18
Armenian Secret Army for the Liberation of Armenia,1976,110,3,6,7
New World Liberation Front (NWLF),1976,217,3,6,1
New World Liberation Front (NWLF),1976,217,3,6,21
Montoneros (Argentina),1976,11,2,5,3
New World Liberation Front (NWLF),1976,217,3,6,14
White extremists,1976,217,7,8,14
International Revolutionary Solidarity,1976,69,3,6,2
International Revolutionary Solidarity,1976,69,3,6,21
Irish Republican Army (IRA),1976,603,1,5,3
Croatian Nationalists,1976,362,1,5,7
Irish Republican Army (IRA),1976,603,3,6,14
Irish National Liberation Army (INLA),1976,603,3,6,14
Ulster Volunteer Force (UVF),1976,603,2,9,14
Red Brigades,1976,98,6,13,1
Basque Fatherland and Freedom (ETA),1976,185,1,5,2
Armed Proletarian Nuclei (NAP),1976,98,2,5,3
Ulster Volunteer Force (UVF),1976,603,1,5,14
Basque Fatherland and Freedom (ETA),1976,185,1,5,2
Montoneros (Argentina),1976,11,1,5,4
New Order- France,1976,69,7,8,6
New World Liberation Front (NWLF),1976,217,3,6,1
Irish Republican Army (IRA),1976,603,1,5,3
Irish Republican Army (IRA),1976,603,7,8,1
New World Liberation Front (NWLF),1976,217,3,6,21
Irish Republican Army (IRA),1976,603,3,6,19
Ulster Freedom Fighters (UFF),1976,603,1,5,14
National Liberation Army of Colombia (ELN),1976,45,1,5,1
Armenian Secret Army for the Liberation of Armenia,1976,110,1,5,7
M-19 (Movement of April 19),1976,45,6,13,14
Armenian Secret Army for the Liberation of Armenia,1976,110,1,5,7
Ulster Freedom Fighters (UFF),1976,603,2,5,1
Turkish People's Liberation Army,1976,209,3,6,14
Turkish People's Liberation Army,1976,209,3,6,3
Ulster Volunteer Force (UVF),1976,603,1,5,14
Guerrilla Army of the Poor (EGP),1976,83,1,5,2
New People's Army (NPA),1976,160,7,8,1
New People's Army (NPA),1976,160,2,5,4
New World Liberation Front (NWLF),1976,217,7,9,21
Montoneros (Argentina),1976,11,3,6,19
Ulster Volunteer Force (UVF),1976,603,2,9,14
Montoneros (Argentina),1976,11,1,5,4
Irish Republican Army (IRA),1976,603,2,9,4
People's Revolutionary Army (ERP) (El Salvador),1976,61,3,6,8
Revolutionary People's Struggle (ELA),1976,78,3,6,1
Revolutionary People's Struggle (ELA),1976,78,3,6,1
Jewish Defense League (JDL),1976,217,2,5,14
Irish Republican Army (IRA),1976,603,1,5,17
Irish Republican Army (IRA),1976,603,3,6,14
Moro National Liberation Front (MNLF),1976,160,6,13,15
Argentine Anticommunist Alliance (AAA),1976,185,6,13,10
Basque Fatherland and Freedom (ETA),1976,185,2,5,19
Basque Fatherland and Freedom (ETA),1976,185,1,5,19
East Asia Anti Japanese Armed Front,1976,101,3,6,2
Coordination of the United Revolutionary Organization (CORU),1976,49,3,6,7
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),1976,11,3,8,1
Red Guerilla Family,1976,217,3,6,1
New World Liberation Front (NWLF),1976,217,3,6,2
Ulster Freedom Fighters (UFF),1976,603,1,5,17
Protestant extremists,1976,96,3,6,14
Jewish Armed Resistance,1976,217,3,6,6
Jewish Armed Resistance,1976,217,3,6,6
Irish Republican Army (IRA),1976,603,3,6,6
White extremists,1976,217,3,6,14
People's Revolutionary Army (ERP) (El Salvador),1976,61,3,6,2
Protestant extremists,1976,603,3,5,1
Irish Republican Army (IRA),1976,603,1,5,17
Montoneros (Argentina),1976,11,2,5,4
Irish Republican Army (IRA),1976,603,2,5,1
Irish Republican Army (IRA),1976,603,1,5,14
New World Liberation Front (NWLF),1976,217,3,6,14
Ulster Freedom Fighters (UFF),1976,603,1,9,17
Irish Republican Army (IRA),1976,603,1,13,14
Basque Fatherland and Freedom (ETA),1976,185,1,5,1
Montoneros (Argentina),1976,11,3,6,4
Irish Republican Army (IRA),1976,603,3,6,19
Ulster Volunteer Force (UVF),1976,603,3,6,14
Basque Fatherland and Freedom (ETA),1976,185,6,13,1
Ulster Freedom Fighters (UFF),1976,603,1,9,14
Jewish Armed Resistance,1976,217,3,6,1
Turkish People's Liberation Army,1976,209,3,6,4
Turkish People's Liberation Army,1976,209,3,6,4
Turkish People's Liberation Army,1976,209,3,6,1
First of October Antifascist Resistance Group (GRAPO),1976,185,2,5,4
Irish Republican Army (IRA),1976,603,3,6,14
Turkish People's Liberation Army,1976,209,3,6,3
Turkish People's Liberation Army,1976,209,3,6,3
Irish Republican Army (IRA),1976,603,3,6,4
Turkish People's Liberation Army,1976,209,3,6,6
Irish Republican Army (IRA),1976,603,3,6,4
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),1976,11,6,13,3
Irish Republican Army (IRA),1976,603,1,5,4
Jewish Defense League (JDL),1976,217,2,5,7
Irish Republican Army (IRA),1976,603,1,5,4
Basque Fatherland and Freedom (ETA),1976,69,1,5,3
Basque Fatherland and Freedom (ETA),1976,69,1,5,3
Omega-7,1976,217,3,6,7
Irish Republican Army (IRA),1976,603,1,5,4
Irish Republican Army (IRA),1976,603,1,5,4
Irish Republican Army (IRA),1976,603,7,8,1
Irish Republican Army (IRA),1976,603,1,5,3
Protestant extremists,1976,603,3,6,1
Protestant extremists,1976,603,3,6,1
Mujahedin-e Khalq (MEK),1976,94,1,5,15
Red Brigades,1976,98,7,8,1
Red Brigades,1976,98,2,5,1
Montoneros (Argentina),1976,11,1,5,1
Armed Communist Formations,1976,98,7,8,1
Irish Republican Army (IRA),1976,603,3,6,14
Armed Communist Formations,1976,98,7,8,7
Irish Republican Army (IRA),1976,603,1,5,3
South-West Africa People's Organization (SWAPO),1976,139,2,5,3
Armed Communist Formations,1976,98,1,5,1
Armed Communist Formations,1976,98,2,5,1
United Freedom Front (UFF),1976,217,3,6,2
Irish Republican Army (IRA),1976,603,1,5,3
Turkish People's Liberation Army,1976,209,3,6,1
Turkish People's Liberation Army,1976,209,3,6,6
Protestant extremists,1976,603,3,6,14
Protestant extremists,1976,603,3,6,1
Armenian Group,1976,217,3,6,8
Montoneros (Argentina),1976,11,1,5,3
Argentine Anticommunist Alliance (AAA),1976,11,6,13,10
Popular Front for the Liberation of Palestine (PFLP),1976,155,3,6,20
Montoneros (Argentina),1976,11,2,5,4
Irish Republican Army (IRA),1976,603,1,5,4
Tigray Peoples Liberation Front (TPLF),1976,65,6,13,14
Eritrean Liberation Front,1976,65,6,13,14
Red Hand Commandos,1976,96,1,5,14
Jewish Armed Resistance,1976,217,3,6,2
Jewish Armed Resistance,1976,217,3,6,1
Jewish Armed Resistance,1976,217,3,6,1
Montoneros (Argentina),1976,11,6,13,10
Popular Front for the Liberation of Palestine (PFLP),1976,97,3,6,15
Montoneros (Argentina),1976,11,1,5,1
Argentine Anticommunist Alliance (AAA),1976,11,6,13,14
23rd of September Communist League,1976,130,2,5,3
M-19 (Movement of April 19),1976,45,2,5,2
National Liberation Army of Colombia (ELN),1976,45,2,5,14
Guerrilla Army of the Poor (EGP),1976,83,6,13,1
Armed Nucleus for Popular Autonomy,1976,69,1,5,7
Fred Hampton Unit of the People's Forces,1976,217,3,6,1
Ulster Freedom Fighters (UFF),1976,603,1,5,14
Jewish Defense League (JDL),1976,217,2,5,7
Jewish Defense League (JDL),1976,217,2,5,7
New World Liberation Front (NWLF),1976,217,3,6,1
Revolutionary Cells,1976,362,3,6,2
Irish Republican Army (IRA),1976,603,3,6,3
Ulster Volunteer Force (UVF),1976,603,2,5,1
Ulster Volunteer Force (UVF),1976,603,3,6,1
Irish Republican Army (IRA),1976,603,1,5,3
Irish Republican Army (IRA),1976,603,1,5,14
Irish Republican Army (IRA),1976,603,1,5,3
Cuban Exiles,1976,217,7,8,1
Montoneros (Argentina),1976,11,6,13,2
Irish Republican Extremists,1976,603,1,5,14
Ulster Volunteer Force (UVF),1976,603,2,5,1
Irish Republican Army (IRA),1976,603,3,6,19
Muslim Rebels,1976,160,4,5,6
Irish Republican Army (IRA),1976,603,1,5,3
Moro National Liberation Front (MNLF),1976,160,2,5,19
23rd of September Communist League,1976,130,6,13,7
First of October Antifascist Resistance Group (GRAPO),1976,185,2,5,4
First of October Antifascist Resistance Group (GRAPO),1976,185,2,5,4
Irish Republican Army (IRA),1976,603,1,5,3
Red Brigades,1976,98,3,6,8
Red Brigades,1976,98,3,6,1
Red Brigades,1976,98,3,6,1
Justice Commandos for the Armenian Genocide,1976,69,3,6,14
23rd of September Communist League,1976,130,2,5,2
Ulster Volunteer Force (UVF),1976,603,1,5,14
Justice Commandos for the Armenian Genocide,1976,199,3,6,1
Protestant extremists,1976,603,5,6,1
Coordination of the United Revolutionary Organization (CORU),1976,49,3,13,8
Revolutionary Armed Forces of Colombia (FARC),1976,45,2,5,14
Protestant extremists,1976,603,1,5,1
Red Cell,1976,362,3,6,4
Red Cell,1976,362,7,8,2
Jewish Extremists,1976,217,7,8,1
Canary Islands Independence Movement,1976,185,6,13,1
Breton Liberation Front (FLB),1976,69,3,6,1
Revolutionary Cells,1976,362,7,8,4
Red Brigades,1976,98,3,6,10
Irish Republican Army (IRA),1976,603,1,5,3
Irish Republican Army (IRA),1976,603,1,5,17
Red Hand Commandos,1976,603,1,5,14
23rd of September Communist League,1976,130,2,5,3
Irish Republican Army (IRA),1976,603,1,5,14
Ulster Freedom Fighters (UFF),1976,603,1,5,14
Ulster Freedom Fighters (UFF),1976,603,1,5,2
Irish Republican Extremists,1976,603,3,6,1
Ulster Volunteer Force (UVF),1976,603,2,5,1
Ulster Volunteer Force (UVF),1976,603,3,6,14
Protestant extremists,1976,603,1,5,14
Red Brigades,1976,98,1,5,3
Irish Republican Army (IRA),1976,603,1,5,14
Omega-7,1976,217,3,6,7
Croatian Nationalists,1976,158,1,5,7
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,3
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Irish Republican Extremists,1976,603,1,5,14
Basque Fatherland and Freedom (ETA),1976,185,1,5,22
23rd of September Communist League,1976,130,2,5,3
Montoneros (Argentina),1976,11,1,5,8
Eritrean Liberation Front,1976,65,6,13,7
Argentine Anticommunist Alliance (AAA),1976,11,6,13,2
Croatian Nationalists,1976,362,2,5,4
23rd of September Communist League,1976,130,1,5,3
Moro National Liberation Front (MNLF),1976,160,2,5,19
Ulster Freedom Fighters (UFF),1976,603,1,5,14
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),1976,11,1,6,3
2nd of June Movement,1976,362,2,5,20
Coordination of the United Revolutionary Organization (CORU),1976,49,3,6,10
Protestant extremists,1976,603,3,6,14
Irish Republican Army (IRA),1976,603,1,5,14
Irish Republican Army (IRA),1976,603,1,5,17
Protestant extremists,1976,603,1,9,14
Irish Republican Extremists,1976,603,1,5,14
Irish Republican Army (IRA),1976,603,1,5,14
United Freedom Front (UFF),1976,217,3,6,2
Irish Republican Army (IRA),1976,603,1,5,14
Irish Republican Army (IRA),1976,603,3,6,4
Jewish Defense League (JDL),1976,217,2,8,6
International Revolutionary Solidarity,1976,69,3,6,1
Republican Action Force,1976,603,2,5,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,3
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Jewish Defense League (JDL),1976,217,3,6,1
Protestant extremists,1976,603,1,9,14
Palestine Liberation Organization (PLO),1976,78,4,13,6
Armed Forces of National Resistance (FARN),1976,61,2,5,4
Irish Republican Army (IRA),1976,603,1,5,4
Irish Republican Army (IRA),1976,603,1,5,4
Irish Republican Army (IRA),1976,603,3,6,4
New World Liberation Front (NWLF),1976,217,1,6,7
Fred Hampton Unit of the People's Forces,1976,217,3,6,2
Irish Republican Army (IRA),1976,603,1,5,14
New World Liberation Front (NWLF),1976,217,3,6,7
Montoneros (Argentina),1976,11,3,6,3
Black September,1976,106,7,8,6
Ulster Volunteer Force (UVF),1976,603,2,5,1
Fred Hampton Unit of the People's Forces,1976,217,3,6,2
Fred Hampton Unit of the People's Forces,1976,217,3,6,4
Fred Hampton Unit of the People's Forces,1976,217,3,6,6
Irish Republican Army (IRA),1976,603,1,5,4
Baader-Meinhof Group,1976,69,3,6,2
United Freedom Front (UFF),1976,217,3,6,1
Irish Republican Army (IRA),1976,603,1,5,14
Ulster Freedom Fighters (UFF),1976,603,1,5,1
Black Order,1976,98,7,8,14
National Front for the Liberation of Cuba (FLNC),1976,100,3,6,6
Ulster Freedom Fighters (UFF),1976,603,1,5,14
Italian Social Movement (MSI),1976,98,1,5,2
Coordination of the United Revolutionary Organization (CORU),1976,20,3,6,6
Palestinians,1976,69,3,6,14
Guerrilla Army of the Poor (EGP),1976,83,1,5,3
Irish Republican Extremists,1976,603,1,9,14
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Protestant extremists,1976,603,1,5,17
Corsican National Liberation Front (FLNC),1976,69,3,6,2
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,14
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,14
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,14
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,14
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,14
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,4
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,1
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,2
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,2
Irish Republican Army (IRA),1976,603,3,6,14
Irish Republican Army (IRA),1976,96,1,6,7
Irish Republican Army (IRA),1976,603,3,6,4
National Front for the Liberation of Cuba (FLNC),1976,130,9,13,11
Movement of the Revolutionary Left (MIR) (Chile),1976,43,3,6,6
National Front for the Liberation of Cuba (FLNC),1976,130,6,13,7
Che Guevara Brigade,1976,98,3,6,7
Red Brigades,1976,69,6,13,20
Omega-7,1976,217,3,6,1
Tigray Peoples Liberation Front (TPLF),1976,65,6,13,10
Revolutionary Cells,1976,362,2,5,2
Ulster Volunteer Force (UVF),1976,603,1,5,14
International Revolutionary Solidarity,1976,69,3,6,6
Croatian Nationalists,1976,362,1,5,7
Protestant extremists,1976,603,3,6,14
Irish Republican Army (IRA),1976,603,3,6,4
Republican Action Force,1976,603,2,5,14
Moro National Liberation Front (MNLF),1976,160,6,13,1
Irish Republican Army (IRA),1976,603,1,5,3
Ulster Freedom Fighters (UFF),1976,603,1,5,14
Ulster Volunteer Force (UVF),1976,603,1,9,14
23rd of September Communist League,1976,130,6,5,8
Irish National Liberation Army (INLA),1976,603,1,5,4
Anti-Terrorism ETA (ATE),1976,185,2,5,1
First of October Antifascist Resistance Group (GRAPO),1976,185,2,5,4
Irish Republican Army (IRA),1976,603,3,6,4
Basque Fatherland and Freedom (ETA),1976,185,3,6,3
23rd of September Communist League,1976,130,6,13,2
Popular Front for the Liberation of Palestine (PFLP),1976,209,3,6,6
Irish Republican Army (IRA),1976,603,2,5,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Baader-Meinhof Group,1976,98,3,8,4
Protestant extremists,1976,603,3,6,14
Ulster Freedom Fighters (UFF),1976,603,1,5,17
Brazilian Anti-Communist Alliance (AAB),1976,30,3,6,10
Brazilian Anti-Communist Alliance (AAB),1976,30,3,6,14
Irish Republican Army (IRA),1976,603,1,6,14
Irish Republican Army (IRA),1976,603,1,5,17
Argentine Anticommunist Alliance (AAA),1976,11,2,5,17
Montoneros (Argentina),1976,11,1,6,2
International Revolutionary Action Group (GARI),1976,69,2,8,19
Coordination of the United Revolutionary Organization (CORU),1976,49,3,6,6
Union Guerrera Blanca (UGB),1976,61,3,6,8
Baader-Meinhof Group,1976,98,7,8,14
Irish Republican Army (IRA),1976,603,1,5,3
Montoneros (Argentina),1976,11,3,6,1
Montoneros (Argentina),1976,11,3,6,1
Montoneros (Argentina),1976,11,3,6,1
Protestant extremists,1976,603,1,8,14
Mujahedin-e Khalq (MEK),1976,94,1,5,1
Coordination of the United Revolutionary Organization (CORU),1976,49,3,6,1
Coordination of the United Revolutionary Organization (CORU),1976,83,3,6,7
Protestant extremists,1976,603,1,5,14
Popular Front for the Liberation of Palestine (PFLP),1976,104,3,6,6
Red Brigades,1976,98,1,5,3
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),1976,11,6,13,14
Coordination of the United Revolutionary Organization (CORU),1976,207,3,6,7
Irish Republican Army (IRA),1976,603,1,5,14
Brazilian Anti-Communist Alliance (AAB),1976,30,3,6,14
Baader-Meinhof Group,1976,362,7,8,2
White extremists,1976,217,8,2,14
Corsican National Liberation Front (FLNC),1976,69,5,5,6
Coordination of the United Revolutionary Organization (CORU),1976,11,1,5,7
Montoneros (Argentina),1976,11,1,5,1
Croatian Freedom Fighters,1976,217,4,6,6
Protestant extremists,1976,603,1,5,14
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,2
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,1
Croatian Nationalists,1976,217,3,6,19
Che Guevara Brigade,1976,98,3,6,7
Che Guevara Brigade,1976,98,3,6,7
Che Guevara Brigade,1976,98,3,6,6
Ulster Freedom Fighters (UFF),1976,603,1,5,17
Montoneros (Argentina),1976,11,1,5,3
Montoneros (Argentina),1976,11,3,6,3
Montoneros (Argentina),1976,11,1,5,1
Irish Republican Army (IRA),1976,603,3,6,16
Revolutionary Cells,1976,362,3,6,14
Irish Republican Army (IRA),1976,96,3,6,3
Omega-7,1976,217,3,6,11
Ulster Freedom Fighters (UFF),1976,603,1,5,14
Irish Republican Army (IRA),1976,603,1,5,3
Montoneros (Argentina),1976,11,1,5,1
Montoneros (Argentina),1976,11,7,8,7
Montoneros (Argentina),1976,11,2,5,1
New World Liberation Front (NWLF),1976,217,3,6,7
Fuerzas Armadas de Liberacion Nacional (FALN),1976,217,3,6,2
Brazilian Anti-Communist Alliance (AAB),1976,30,6,13,15
Guerrilla Army of the Poor (EGP),1976,83,7,8,1
Protestant extremists,1976,603,1,5,14
Irish Republican Extremists,1976,603,2,5,1
Irish National Liberation Army (INLA),1976,603,1,5,14
Protestant extremists,1976,603,1,5,14
Abu Nidal Organization (ANO),1976,200,5,5,1
Eritrean Liberation Front,1976,65,6,13,7
Protestant extremists,1976,603,1,5,14
Revolutionary Armed Forces of Colombia (FARC),1976,45,6,13,1
Basque Fatherland and Freedom (ETA),1976,69,3,6,1
Palestinians,1976,153,7,8,6
First of October Antifascist Resistance Group (GRAPO),1976,185,2,5,3
Montoneros (Argentina),1976,11,1,6,2
Ulster Freedom Fighters (UFF),1976,603,1,5,14
Basque Fatherland and Freedom (ETA),1976,185,1,5,2
Montoneros (Argentina),1976,11,3,6,1
Coordination of the United Revolutionary Organization (CORU),1976,20,3,6,6
Protestant extremists,1976,603,1,5,14
Montoneros (Argentina),1976,11,3,6,1
Montoneros (Argentina),1976,11,3,6,1
Irish Republican Army (IRA),1976,603,3,6,3
Irish Republican Army (IRA),1976,603,1,5,3
Irish Republican Army (IRA),1976,603,7,8,1
Protestant extremists,1976,603,1,9,14
Montoneros (Argentina),1976,11,1,5,1
Union Guerrera Blanca (UGB),1976,61,3,6,2
Abu Nidal Organization (ANO),1976,153,3,5,7
Ulster Volunteer Force (UVF),1976,603,1,5,14
Red Brigades,1976,98,5,5,2
Irish Republican Army (IRA),1976,603,1,5,14
Ulster Volunteer Force (UVF),1976,603,1,5,18
Revolutionary People's Struggle (ELA),1976,78,7,8,1
Montoneros (Argentina),1976,11,3,6,4
Irish Republican Army (IRA),1976,603,3,6,17
Protestant extremists,1976,603,1,5,14
Popular Revolutionary Vanguard (VPR),1976,30,3,6,1
23rd of September Communist League,1976,130,2,5,1
Irish Republican Army (IRA),1976,603,1,5,4
Youth Action Group,1976,69,3,6,1
Youth Action Group,1976,69,3,6,1
Youth Action Group,1976,69,3,6,10
Red Brigades,1976,98,2,8,14
Red Brigades,1976,98,2,8,14
Red Brigades,1976,98,2,8,14
Red Brigades,1976,98,2,5,2
Irish Republican Army (IRA),1976,603,1,5,4
Polisario Front,1976,185,3,6,7
Protestant extremists,1976,603,1,5,2
Irish Republican Army (IRA),1976,603,1,5,4
Argentine Anticommunist Alliance (AAA),1976,11,1,5,17
Irish Republican Army (IRA),1976,603,1,5,4
Ulster Volunteer Force (UVF),1976,603,1,5,14
Ulster Volunteer Force (UVF),1976,603,2,5,14
Italian Social Movement (MSI),1976,98,3,6,1
Irish Republican Army (IRA),1976,603,1,5,3
Montoneros (Argentina),1976,11,1,5,1
First of October Antifascist Resistance Group (GRAPO),1976,185,2,5,1
Irish Republican Extremists,1976,603,1,5,14
Irish Republican Extremists,1976,603,1,5,14
Protestant extremists,1976,603,1,5,14
Protestant extremists,1976,603,1,5,14
Guerrilla Army of the Poor (EGP),1976,83,3,6,1
Turkish People's Liberation Army,1976,209,3,6,6
Turkish People's Liberation Army,1976,209,3,6,1
Turkish People's Liberation Army,1976,209,3,6,1
Turkish People's Liberation Army,1976,209,3,6,7
Ulster Volunteer Force (UVF),1976,603,1,5,14
Coordination of the United Revolutionary Organization (CORU),1976,185,3,6,6
Sandinista National Liberation Front (FSLN),1976,49,3,6,7
Sandinista National Liberation Front (FSLN),1976,49,3,6,7
Baader-Meinhof Group,1976,98,7,8,1
Baader-Meinhof Group,1976,98,3,6,6
Irish Republican Army (IRA),1976,603,1,5,4
Montoneros (Argentina),1976,11,1,6,3
2nd of June Movement,1976,362,2,5,1
Irish Republican Extremists,1976,603,1,5,14
Irish Republican Army (IRA),1976,603,1,5,4
Revolutionary Cells,1976,362,2,8,14
Guerrilla Army of the Poor (EGP),1976,83,2,5,1
Protestant extremists,1976,603,6,5,14
Montoneros (Argentina),1976,11,1,5,7
Montoneros (Argentina),1976,11,1,6,10
Irish Republican Army (IRA),1976,603,1,5,4
Ulster Freedom Fighters (UFF),1976,603,1,5,14
Red Brigades,1976,98,7,8,14
Red Brigades,1976,98,5,8,14
Abu Nidal Organization (ANO),1976,102,5,5,1
Irish Republican Army (IRA),1976,603,1,5,4
Guerrilla Army of the Poor (EGP),1976,83,2,5,6
New People's Army (NPA),1976,160,2,5,14
Ulster Freedom Fighters (UFF),1976,603,1,5,14
Irish Republican Extremists,1976,603,1,5,1
Irish National Liberation Army (INLA),1976,603,1,5,4
Red Brigades,1976,98,1,5,1
Guerrilla Army of the Poor (EGP),1976,83,2,5,1
Irish Republican Army (IRA),1976,603,3,6,14
Irish Republican Army (IRA),1976,603,3,6,14
Communist Fighting Unit,1976,98,2,5,1
Red Brigades,1976,98,2,5,1
Prima Linea,1976,98,2,5,1
Ulster Freedom Fighters (UFF),1976,603,1,5,14
African National Congress (South Africa),1976,183,3,6,3
Abu Nidal Organization (ANO),1976,200,1,5,7
Revolutionary Cells,1976,362,3,6,4
Red Brigades,1976,98,2,5,2
Independent Armed Revolutionary Commandos (CRIA),1976,217,7,8,2
Independent Armed Revolutionary Commandos (CRIA),1976,217,7,8,2
Independent Armed Revolutionary Commandos (CRIA),1976,217,7,8,2
Independent Armed Revolutionary Commandos (CRIA),1976,217,7,8,2
Irish Republican Army (IRA),1976,603,1,5,3
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,10
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,10
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,10
First of October Antifascist Resistance Group (GRAPO),1976,185,3,6,10
Protestant extremists,1976,603,1,5,14
May 19 Communist Order,1976,217,2,5,1
23rd of September Communist League,1976,130,6,13,1
23rd of September Communist League,1976,130,1,5,1
Red Brigades,1976,98,2,8,14
Palestine Liberation Organization (PLO),1976,217,3,6,2
First of October Antifascist Resistance Group (GRAPO),1976,185,6,13,2
Irish Republican Army (IRA),1976,603,1,5,4
United Freedom Front (UFF),1976,217,3,6,1
23rd of September Communist League,1976,130,2,5,1
Irish Republican Army (IRA),1976,603,3,6,1
November 17 Revolutionary Organization (N17RO),1976,78,1,5,3
Armed Proletarian Nuclei (NAP),1976,98,1,13,3
Communists,1976,162,3,6,10
New World Liberation Front (NWLF),1976,217,3,6,2
Irish Republican Army (IRA),1976,603,1,5,3
Irish Republican Extremists,1976,603,3,6,1
Red Brigades,1976,98,1,5,3
Black Order,1976,98,3,6,14
